epoch,accuracy,loss,val_accuracy,val_loss
0,0.80632716,0.4908516734470556,0.8125,0.46832021532787216
1,0.80767745,0.48147168318614547,0.8125,0.4824492269092136
2,0.80748457,0.4815361112540151,0.8125,0.46972158716784584
3,0.80748457,0.4792548295248438,0.8125,0.46578386715716785
4,0.80748457,0.47812392962751565,0.8125,0.4670490249991417
5,0.80748457,0.47792755587049474,0.8125,0.46497862454917693
6,0.80748457,0.4767296722181785,0.8125,0.46684381779697204
7,0.80748457,0.4774675069399822,0.8125,0.4654150352709823
8,0.80748457,0.47654171104048504,0.8125,0.46452506714397007
9,0.80767745,0.4766024519447927,0.8125,0.4646853303743733
10,0.80767745,0.4769016544300097,0.8125,0.4643281375368436
11,0.80767745,0.4758864829753652,0.8125,0.4650948258737723
12,0.80748457,0.4765233285725117,0.8125,0.4644063206182586
13,0.80748457,0.47573306986395225,0.8125,0.46399738391240436
14,0.80748457,0.47550487688478127,0.8125,0.46391458436846733
15,0.80748457,0.4757167897934531,0.8125,0.46550074385272133
16,0.80767745,0.4753592195518223,0.8125,0.4639214811225732
17,0.80767745,0.4753081897434629,0.8125,0.46382900493012535
18,0.80767745,0.47509318539573825,0.8125,0.46431366892324555
19,0.80748457,0.47552033987494163,0.8125,0.46386384922597146
20,0.80748457,0.4750130551372781,0.8125,0.46386193939381176
21,0.80767745,0.4749649015289766,0.8125,0.4646483005748855
22,0.80767745,0.47497147018158875,0.8125,0.46387407266431385
23,0.80748457,0.4751764155096478,0.8125,0.46373315528035164
24,0.80767745,0.47470857538742783,0.8125,0.46388329648309284
25,0.80767745,0.4745638067431656,0.8125,0.4647618474231826
26,0.80767745,0.4751755949339749,0.8125,0.463681632031997
27,0.80748457,0.4750727865798974,0.8125,0.4637126603888141
28,0.80748457,0.4750113567268407,0.8125,0.4636439085006714
29,0.80748457,0.474847913156321,0.8125,0.4637008181048764
