epoch,accuracy,loss,val_accuracy,val_loss
0,0.80536264,0.49319321059702353,0.8125,0.47592409203449887
1,0.80748457,0.48364988479901244,0.8125,0.4677092333634694
2,0.80748457,0.4785449639606623,0.8125,0.47110748953289455
3,0.80767745,0.4809898231868391,0.8125,0.46539729668034446
4,0.80767745,0.47713930776089797,0.8125,0.46481669280264115
5,0.80748457,0.47679596950794445,0.8125,0.46453675296571517
6,0.80767745,0.4765437214554828,0.8125,0.46532367252641255
7,0.80767745,0.47667114556203655,0.8125,0.4668710248337852
8,0.80748457,0.4762699166657748,0.8125,0.46440960052940583
9,0.80748457,0.47591847609038707,0.8125,0.464701384305954
10,0.80748457,0.4757465272681949,0.8125,0.46448441760407555
11,0.80748457,0.4756802372450446,0.8125,0.46418751527865726
12,0.80748457,0.47633246415191227,0.8125,0.4643714610073302
13,0.80767745,0.47520945331564657,0.8125,0.4641852643754747
14,0.80748457,0.47575671865064423,0.8125,0.46414591785934234
15,0.80748457,0.4757992092657972,0.8125,0.46417320354117286
16,0.80748457,0.47520745761784505,0.8125,0.46438025765948826
17,0.80748457,0.4758551043032864,0.8125,0.4666457052032153
18,0.80767745,0.4756134122978022,0.8125,0.46394028183486724
19,0.80767745,0.475008582673323,0.8125,0.46418748795986176
20,0.80748457,0.47528302798300615,0.8125,0.4639701677693261
21,0.80748457,0.47580665322365584,0.8125,0.46368852340512806
22,0.80748457,0.47501615388893786,0.8125,0.4638170599937439
23,0.80748457,0.47522851185482223,0.8125,0.4652608624762959
24,0.80748457,0.47518054248742114,0.8125,0.46440306968159145
25,0.80767745,0.4752547388183482,0.8125,0.46497269637054867
26,0.80748457,0.47527588844115354,0.8125,0.4639083022872607
27,0.80748457,0.4750649106263379,0.8125,0.4636743913094203
28,0.80767745,0.4746679615367342,0.8125,0.46400948282745147
29,0.80748457,0.4753609252748666,0.8125,0.4635683322946231
