epoch,accuracy,loss,val_accuracy,val_loss
0,0.806713,0.4942826640182807,0.8125,0.46976034674379563
1,0.80748457,0.4859701184854831,0.8125,0.46842044591903687
2,0.80748457,0.48289759898627244,0.8125,0.47027980412046116
3,0.8078704,0.4840207868428142,0.8125,0.46878988792498905
4,0.80748457,0.4802567992405391,0.8125,0.4791054195827908
5,0.80748457,0.47957130668707837,0.8125,0.46748121538096005
6,0.8078704,0.4789060403903325,0.8125,0.4663458785249127
7,0.80767745,0.48017175031113035,0.8125,0.4724854545460807
8,0.80748457,0.47912334342613633,0.8125,0.4664228434364001
9,0.80767745,0.4792314809689551,0.8125,0.46489667106005883
10,0.80748457,0.4775614088148247,0.8125,0.4652678221464157
11,0.80767745,0.4768180502693594,0.8125,0.46617598252163994
12,0.80748457,0.47707289181373735,0.8125,0.4677492409116692
13,0.80748457,0.47715253810639735,0.8125,0.46433631372120643
14,0.80748457,0.47695673454874826,0.8125,0.46537574215067756
15,0.80748457,0.4763246311541693,0.8125,0.46513110233677757
16,0.80748457,0.4764468589866603,0.8125,0.4641509772174888
17,0.80748457,0.47656726887748563,0.8125,0.4647875299884213
18,0.80748457,0.47605055956928816,0.8125,0.46397312606374425
19,0.80748457,0.475445255085274,0.8125,0.4680057701965173
20,0.80748457,0.4759784939204469,0.8125,0.4650999626351727
21,0.80748457,0.4756444243277297,0.8125,0.4646618171698517
22,0.80767745,0.475736455279,0.8125,0.4638030644920137
23,0.80748457,0.4751295916920091,0.8125,0.46378789593776065
24,0.80748457,0.4748227248589198,0.8125,0.46361640344063443
25,0.80767745,0.47470326266354984,0.8125,0.4636055636737082
26,0.80748457,0.4748163949928166,0.8125,0.4637143711249034
27,0.80748457,0.4748905231187373,0.8125,0.4635254417856534
28,0.80748457,0.4746037905138952,0.8125,0.4636191961665948
29,0.80748457,0.4747653954926832,0.8125,0.46353094693687225
